Cell Line,Inhibitor,Stimulus,Timepoint,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta_pS664,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,TAZ_pS89,YAP_pS127,YB-1_PS102
UACC812,GSK690693,Insulin,5,2.6123076991104104,4.06627728456716,0.7279455751315831,16.7215151852959,10.6147884422448,3.7695341739402504,0.764247987651106,0.583153270892412,1.22012579378844,0.787566620214503,0.606979029363548,6.790463491013429,1.31501233271229,1.42773965070992,3.38698199333003,2.0365941640479197,7.20731262647449,1.66793453470871,0.38500193402343297,1.25866573251486,2.3456658683929,1.47881454052088,0.7763770559633639,1.4654027256828501,0.5625213381822021,1.07568934054376,0.8715950023153042,1.82141904756812,0.397923777571962,2.9373688151634902,4.76113050443079,0.20855611853171602,0.7796459413162221,2.39025934308424,4.411290087332111,5.46200737118028,1.7687698607894498,5.046636675117,5.26030947341188,1.55679443698454,5.03891158483882,0.298903033646654,1.5585994065364701,2.14704199828244,0.6046959659367751
UACC812,GSK690693,EGF,5,2.63290445218506,4.36967459361837,0.705715113031148,13.1566227841344,8.18548128325238,3.79988817701721,0.835139562489372,0.627315856996569,1.0833036707455501,0.8684002492345971,0.580377734852695,6.440283936169231,1.28185063158522,1.27082786071213,3.17061184841968,1.95360632852476,7.5162861882452905,1.81936562948984,0.39884148918550894,1.4402781864742602,2.50777118044462,1.3100644513797601,0.8325937992731429,1.39948737109211,0.5447228289554,1.0326665131284598,0.8998911063995259,1.67642562702553,0.40480460183673606,2.87087757365806,5.37356482091203,0.214176427458828,0.739804156866228,2.2817958181845897,4.57010424535549,4.5249859007582405,1.5403197644981204,3.78552001070527,3.6869509187613203,1.6666406054517902,4.61625970155483,0.303294221370785,1.8400032261284598,2.16183141506792,0.660882388621498
UACC812,DMSO,Insulin,5,2.7105322904966895,3.85364118575787,0.754977649644564,2.37824100986778,1.22511259678883,3.80074537383478,0.9361624067194051,0.619390681928177,1.20032187057703,0.8090463604298059,0.578456427735312,5.85895663031541,1.2773691320328202,1.34297641397701,4.053948964219259,2.3734582583822097,6.93451030709315,1.58776810059657,0.392837287654765,1.3371130040458001,2.48140515557765,1.56337586939279,1.04567273239717,1.46515429348449,0.5455664784277471,1.12197670376446,0.891403325752968,2.8453247176434795,0.40205180784635103,2.80765198914563,5.17790898232021,0.21007423339106798,0.7560561773803359,2.37637102286357,5.74784313793807,4.92312712207898,2.03791546620204,6.4465005529050305,5.65344169491545,1.72648406805001,5.11932419284975,0.300086678460277,1.98727384419083,2.20498103710002,0.6887417517536829
UACC812,DMSO,EGF,5,3.0881639624665898,4.09692446775968,0.592228876144595,2.11023522097675,1.26371383835387,3.2657527751683504,0.936100588964017,0.6007342937360309,0.944790561259282,0.8738894659829519,0.614822416455618,5.793674867807209,1.32796988308584,1.21284197147341,3.6610087414153396,2.24966458685466,7.16357502670079,1.6320717681894499,0.388238662538106,1.4729100108234001,2.61722115589034,1.18523408988076,1.13954754225047,1.52274857359489,0.53404985652436,1.19328425415998,0.940277862187953,2.66953071548296,0.415676129778126,2.81389279156667,4.11686966107557,0.219301788011195,0.6874193977385121,2.03982182313844,5.8459494882320495,4.12795145093157,1.74459816779198,4.7705657563452,4.56519556886911,1.58684785681007,3.80613409025458,0.308744537387134,1.53315997483496,2.4823101926808597,0.794135220140903
UACC812,GSK690693,IGF1,5,2.9607929047013397,4.25926376975965,0.628370894265165,15.65520610753,9.65541078768793,3.84713457209337,0.7745502378281809,0.588488382910718,1.1253778109194,0.853788253563607,0.590328307074027,7.1525474181758,1.4916513578702097,1.43033545984137,3.45068935658889,1.99407378506381,8.98644050881654,2.0881358889757,0.370767335648719,1.4576911972281,2.28956342539161,1.31308790404045,0.80983393479241,1.5303982338759101,0.54411847738432,0.993377851088923,0.9235902677462791,1.89549751161287,0.37300004420604205,2.9523367907296403,3.8726494966334104,0.206521296360946,0.670803896251759,2.07749856445961,4.811060099276349,4.88112975177429,1.50400680658527,4.42883961548627,4.3583434294112795,1.81163667899549,4.71137409077025,0.30873710418336703,1.5277234588055801,2.41449468104109,0.590184836843923
UACC812,GSK690693,FGF1,5,2.4801009645670695,3.6083111156483,0.71262511785777,14.437543821805301,8.444919349627192,3.91858490504741,0.7547485879050321,0.6361991864202939,1.2358476402143999,0.923309614717984,0.625634751020141,6.24755408111876,1.3857088830553201,1.4565243658592901,3.20094885026632,1.99368995991391,7.78849671095266,2.01816628402679,0.385656804818329,1.4991216497977,2.09648938880679,1.4221770800061002,0.7539151221038329,1.3573851276747302,0.603785706898585,0.9909672237545408,0.940641330117159,1.6670028110755402,0.399677401051391,2.75510597596778,3.56083995366417,0.225727767401714,0.7709916377801421,2.22992536659743,4.43663278654579,4.474209250805781,1.52931066189231,3.7920927941139304,3.34889953936526,1.8566083661286898,4.77781675614092,0.32862113809578697,1.50967153883948,2.19965445659278,0.666787173071222
UACC812,DMSO,IGF1,5,2.8168994293622203,3.9483799236007,0.6613831372761519,2.80621264789962,1.49978251690155,3.7175393907741805,0.8241488546559941,0.646189534483338,1.26465940248402,0.847123982498215,0.6194697963258671,8.4239956340943,1.43642516427997,1.3669950519981202,3.98229395244302,2.4052414917519704,8.61078183835006,1.8658884140873,0.38256321044076597,1.34516829873743,2.2831205535206203,1.5845066278932198,1.08005708376979,1.5186861445958602,0.586687398437553,1.1110577526063101,0.864810193386396,2.96122614535827,0.384822491879804,2.7892339397679002,4.50351105729093,0.21692522378581897,0.745470909120792,2.31959253867532,5.9794621266456405,4.87394532701438,1.8309287728379398,6.25190799613318,8.08382928920725,1.81035853515863,4.95457220564868,0.30611653618224,1.68205079976028,2.5354995796978597,0.6724075020479721
UACC812,DMSO,FGF1,5,2.8834229995019798,3.7311469166438402,0.6510416806108361,3.05512195778516,1.5905782025115902,3.8780737524226003,0.84534605436177,0.690784814306256,1.37451482676431,0.948809744904295,0.6025280190691121,7.866453372652201,1.4895405134935502,1.52432957629605,4.15550882710928,2.63588910439867,8.51338300929358,1.96339275142109,0.38842628580928795,1.6162470333612902,2.4097889862222703,1.5902325345444799,1.10284666586608,1.56726313173877,0.5421570980277189,1.14533687348911,0.9737596685165072,3.0758540325743904,0.376194399346631,2.86791291323431,4.28695250823441,0.207113430933665,0.740518585239865,2.46179982594795,5.546131783578381,4.956110020378009,2.0796034043273703,5.89610394468437,5.13754994526106,1.86637770232023,4.8116715110896795,0.30477523865603195,1.3882065970741,2.46337012619247,0.7438765830496709
UACC812,GSK690693,Insulin,15,2.49721780281541,3.7655005050318,0.769906284244238,14.2620764028781,8.730745418639048,3.5486213112764706,0.8134295549830408,0.582579363839077,1.11254990381615,0.7980115111402349,0.6158907458283299,7.64535375338246,1.3250648897518997,1.26498677655541,2.8324762346201497,1.7378306628262201,8.875628190907689,1.644085243839,0.384216721765013,0.625203784344415,1.11526948460459,1.62401738617149,0.674350611502704,1.2632044914365,0.534380016897284,1.0751149658235999,0.868552822355098,1.5232528397622902,0.41247465852300397,2.68445232065184,4.91625766324164,0.22149714270363302,0.813620944488066,2.03276611882729,3.69835637405325,5.48012916858825,1.63687030145164,5.52759427957832,5.24344351891208,1.6803227960772902,5.260415891806809,0.31361238197555796,1.66896308143644,2.2089389496382497,0.612200546813099
UACC812,GSK690693,EGF,15,2.4376393793329703,3.7746469351161402,0.809329954825937,11.7186545628533,7.52335299911761,3.7840918680912594,0.8039526734354789,0.601259226105777,1.05356687431047,0.8603547781652958,0.587257839902531,5.963359349925341,1.24688867090279,1.21132419225051,2.9517151773581203,1.8986164289934901,8.05515511702963,1.6796208005701299,0.38738907277287393,0.782848271948201,1.5911198116376999,1.4927971054467402,0.701443841124968,1.3396847942758798,0.589408802873156,1.03066010510859,0.9248613481320259,1.67308299979655,0.430667696520846,2.8415544948446803,5.79268287126533,0.21623657991821804,0.782413847770652,2.0360065382081802,4.0176414297526,5.0537470432319,1.6882507566228202,5.37024961420215,4.73530749477588,1.82279586264528,4.90274727887891,0.296534675457862,1.86089604645508,2.24957544424479,0.619794037751457
